term	realization	matches	good	total	precision	kept	example_failure	example_failure_bound_words
put out of one's mind	clitic	2	2	2	1.00	yes		
put someone in hospital	filled	2	2	2	1.00	yes		
put someone in their place	clitic	2	0	2	0.00	no	Please put it back in its place.	put … it … in … its … place
raise one's eyebrows	clitic	2	2	2	1.00	yes		
rub one's hands	clitic	2	2	2	1.00	yes		
rub one's hands together	clitic	2	2	2	1.00	yes		
scratch one's head	clitic	2	2	2	1.00	yes		
see one's breath	filled	2	0	2	0.00	no	Long time, no see!	no … see
see oneself out	filled	2	0	2	0.00	no	I fear he will not see the year out.	see … year … out
show one's butt	clitic	2	2	2	1.00	yes		
show one's true colors	clitic	2	2	2	1.00	yes		
show one's work	clitic	2	0	2	0.00	no	At the end of the year we show our work.	show … our … work
show someone the ropes	filled	2	2	2	1.00	yes		
shut one's gob	clitic	2	2	2	1.00	yes		
sick to one's stomach	clitic	2	2	2	1.00	yes		
sit on one's hands	clitic	2	2	2	1.00	yes		
sit one's ass down	clitic	2	2	2	1.00	yes		
skeleton in one's closet	clitic	2	2	2	1.00	yes		
slit someone's throat	clitic	2	2	2	1.00	yes		
smash someone's head	clitic	2	1	2	0.50	no	The hatchet that smashed his head was next to him.	smashed … his … head
spare someone the details	filled	2	2	2	1.00	yes		
spit in someone's face	clitic	2	0	2	0.00	no	Save your spit and fire for the bandits.	your … spit
steal someone's heart	clitic	2	2	2	1.00	yes		
stuff one's face	clitic	2	2	2	1.00	yes		
sun oneself	clitic	2	2	2	1.00	yes		
sun oneself	filled	2	2	2	1.00	yes		
sweat one's guts out	clitic	2	2	2	1.00	yes		
take one's leave	filled	2	1	2	0.50	no	Our hero took a leave of two weeks.	took … leave … weeks
take one's life	filled	2	2	2	1.00	yes		
take one's lumps	clitic	2	2	2	1.00	yes		
take one's pick	clitic	2	2	2	1.00	yes		
take one's seat	filled	2	2	2	1.00	yes		
take someone's arm	clitic	2	1	2	0.50	no	Take your arm out!	Take … your … arm
take someone's breath away	clitic	2	2	2	1.00	yes		
take someone's fancy	filled	2	0	2	0.00	no	He took a fancy to her.	took … fancy … her
take someone's head off	clitic	2	2	2	1.00	yes		
take someone's life	filled	2	2	2	1.00	yes		
take something as it comes	filled	2	2	2	1.00	yes		
there one has it	filled	2	2	2	1.00	yes		
thumb one's nose	filled	2	0	2	0.00	no	We will still demand the thumbs of our Ekalavyas.	thumbs … Ekalavyas
time of one's life	clitic	2	0	2	0.00	no	It was the happiest time of my life.	time … of … my … life
to one's feet	clitic	2	2	2	1.00	yes		
to one's name	filled	2	1	2	0.50	no	The dog answers to the name of Blackie.	to … name … Blackie
to someone's liking	clitic	2	2	2	1.00	yes		
to someone's taste	clitic	2	2	2	1.00	yes		
true to one's word	clitic	2	2	2	1.00	yes		
turn over in one's grave	clitic	2	2	2	1.00	yes		
twist someone's arm	clitic	2	2	2	1.00	yes		
under one's breath	clitic	2	2	2	1.00	yes		
under someone's roof	clitic	2	2	2	1.00	yes		
up one's sleeve	clitic	2	2	2	1.00	yes		
up one's sleeves	clitic	2	2	2	1.00	yes		
watch one's ass	clitic	2	1	2	0.50	no	Walk ahead, so I can watch your ass.	watch … your … ass
win someone's heart	clitic	2	2	2	1.00	yes		
wish someone well	clitic	2	2	2	1.00	yes		
within one's means	clitic	2	2	2	1.00	yes		
God love someone	clitic	1	1	1	1.00	yes		
about one's ears	clitic	1	0	1	0.00	no	I-I make jokes about your ears.	about … your … ears
about one's person	clitic	1	1	1	1.00	yes		
according to one's understanding	clitic	1	1	1	1.00	yes		
act one's age	clitic	1	1	1	1.00	yes		
ahead of one's time	clitic	1	1	1	1.00	yes		
around one's ears	clitic	1	0	1	0.00	no	Grab the rabbit by the tail, wrap it around his ear.	around … his … ear
assert oneself	clitic	1	1	1	1.00	yes		
at one's fingertips	clitic	1	1	1	1.00	yes		
at one's own peril	clitic	1	1	1	1.00	yes		
at one's peril	clitic	1	1	1	1.00	yes		
at the top of one's voice	clitic	1	1	1	1.00	yes		
back of one's mind	clitic	1	1	1	1.00	yes		
bag under one's eye	clitic	1	1	1	1.00	yes		
bare one's heart	clitic	1	1	1	1.00	yes		
bare one's teeth	clitic	1	1	1	1.00	yes		
bat one's eyelashes	clitic	1	1	1	1.00	yes		
bawl one's eyes out	clitic	1	1	1	1.00	yes		
beat one's face	clitic	1	1	1	1.00	yes		
beat one's meat	clitic	1	1	1	1.00	yes		
beat someone's time	clitic	1	0	1	0.00	no	You guys know my name You dance to my beat.	my … beat
because one can	filled	1	1	1	1.00	yes		
bee in one's bonnet	clitic	1	1	1	1.00	yes		
before one's eyes	filled	1	1	1	1.00	yes		
behind someone's back	filled	1	1	1	1.00	yes		
believe one's ears	clitic	1	1	1	1.00	yes		
believe one's own eyes	clitic	1	1	1	1.00	yes		
bend to one's will	clitic	1	1	1	1.00	yes		
bend to one's will	filled	1	1	1	1.00	yes		
bet one's boots	clitic	1	1	1	1.00	yes		
bide one's time	clitic	1	1	1	1.00	yes		
bite one's thumb	clitic	1	0	1	0.00	no	You should try not to scratch your mosquito bites.	your … bites
bite one's tongue	clitic	1	0	1	0.00	no	You should try not to scratch your mosquito bites.	your … bites
bite someone's head off	clitic	1	0	1	0.00	no	I hoped you would cry out in your sleep, so I could bite off your head.	bite … off … your … head
blood in one's eye	clitic	1	0	1	0.00	no	No, you just got blood in your eyes.	blood … in … your … eyes
blow one's chance	clitic	1	0	1	0.00	no	Guaracy was cashing in from my blows on trafficking.	my … blows
blow one's lid	clitic	1	0	1	0.00	no	Guaracy was cashing in from my blows on trafficking.	my … blows
blow someone's skirt up	clitic	1	1	1	1.00	yes		
box someone's ears	clitic	1	1	1	1.00	yes		
break one's word	clitic	1	1	1	1.00	yes		
breathe one's last	clitic	1	1	1	1.00	yes		
bring oneself away	filled	1	1	1	1.00	yes		
bullet with someone's name on it	clitic	1	1	1	1.00	yes		
burn a hole in someone's pocket	clitic	1	1	1	1.00	yes		
burn one's bridges	clitic	1	1	1	1.00	yes		
burn someone's ass	clitic	1	0	1	0.00	no	I burned her ass to a crisp.	burned … her … ass
bust one's ass	clitic	1	1	1	1.00	yes		
bust someone's ass	clitic	1	1	1	1.00	yes		
butter someone's biscuit	filled	1	0	1	0.00	no	Is there any butter in the refrigerator?	butter … refrigerator
call someone's number	clitic	1	0	1	0.00	no	When I call out your number go to the cells!	call … your … number
cast one's vote	clitic	1	1	1	1.00	yes		
change one's battery	filled	1	1	1	1.00	yes		
change one's story	clitic	1	1	1	1.00	yes		
change one's tune	clitic	1	1	1	1.00	yes		
change oneself	clitic	1	1	1	1.00	yes		
choose one's battles	clitic	1	1	1	1.00	yes		
clean up one's act	clitic	1	1	1	1.00	yes		
click one's fingers	clitic	1	1	1	1.00	yes		
click one's tongue	clitic	1	1	1	1.00	yes		
close to someone's heart	clitic	1	1	1	1.00	yes		
come into one's own	clitic	1	1	1	1.00	yes		
come out of one's shell	clitic	1	1	1	1.00	yes		
come to oneself	clitic	1	0	1	0.00	no	I should have come myself.	come … myself
come to someone's aid	filled	1	1	1	1.00	yes		
comfortable in one's own skin	clitic	1	1	1	1.00	yes		
comfortable in one's skin	clitic	1	1	1	1.00	yes		
conspicuous by one's absence	clitic	1	1	1	1.00	yes		
cool one's heels	clitic	1	1	1	1.00	yes		
cool one's jets	clitic	1	1	1	1.00	yes		
cramp someone's style	clitic	1	1	1	1.00	yes		
cross one's heart	clitic	1	1	1	1.00	yes		
cross one's legs	clitic	1	1	1	1.00	yes		
cry one's eyes out	clitic	1	1	1	1.00	yes		
curl someone's hair	clitic	1	1	1	1.00	yes		
cut one loose	clitic	1	1	1	1.00	yes		
dance to someone's tune	filled	1	1	1	1.00	yes		
danger is one's middle name	clitic	1	1	1	1.00	yes		
dash someone's hopes	clitic	1	1	1	1.00	yes		
dig in one's heels	clitic	1	1	1	1.00	yes		
dig one's own grave	clitic	1	1	1	1.00	yes		
do one's own thing	clitic	1	1	1	1.00	yes		
do one's part	filled	1	1	1	1.00	yes		
do somebody wrong	clitic	1	0	1	0.00	no	Tom is doing it wrong.	doing … it … wrong
do someone's bidding	clitic	1	1	1	1.00	yes		
draw one's last breath	clitic	1	1	1	1.00	yes		
drive someone insane	clitic	1	1	1	1.00	yes		
drive someone up the wall	clitic	1	1	1	1.00	yes		
drown one's sorrows	clitic	1	0	1	0.00	no	Let the rain drown out your sorrow.	drown … your … sorrow
earn one's wings	clitic	1	1	1	1.00	yes		
eat from someone's hand	clitic	1	0	1	0.00	no	The goat ate from her hand.	ate … from … her … hand
eat one's young	clitic	1	1	1	1.00	yes		
eat someone for breakfast	clitic	1	1	1	1.00	yes		
eat someone's heart	clitic	1	0	1	0.00	no	The Indians ate his heart.	ate … his … heart
egg on one's face	clitic	1	1	1	1.00	yes		
everything one touches turns to gold	filled	1	1	1	1.00	yes		
extend one's hand	clitic	1	1	1	1.00	yes		
find one's voice	clitic	1	1	1	1.00	yes		
fix someone's clock	clitic	1	0	1	0.00	no	Can you fix my clock?	fix … my … clock
flip one's lid	clitic	1	1	1	1.00	yes		
follow in someone's footsteps	clitic	1	1	1	1.00	yes		
follow one's nose	clitic	1	1	1	1.00	yes		
follow someone to the ends of the world	clitic	1	1	1	1.00	yes		
follow someone to the ends of the world	filled	1	1	1	1.00	yes		
for one's liking	clitic	1	1	1	1.00	yes		
for one's trouble	clitic	1	1	1	1.00	yes		
forget one's manners	clitic	1	1	1	1.00	yes		
fuck someone's brains out	clitic	1	1	1	1.00	yes		
fuck someone's brains out	filled	1	1	1	1.00	yes		
get on someone's last nerve	clitic	1	1	1	1.00	yes		
get on someone's tits	clitic	1	1	1	1.00	yes		
get one's arse into gear	clitic	1	1	1	1.00	yes		
get one's feet wet	clitic	1	0	1	0.00	no	Put the rubber boots on, or else you will get your feet wet!	get … your … feet … wet
get one's fill	clitic	1	1	1	1.00	yes		
get one's head around	clitic	1	1	1	1.00	yes		
get one's head right	clitic	1	1	1	1.00	yes		
get one's house in order	clitic	1	1	1	1.00	yes		
get one's juices flowing	clitic	1	1	1	1.00	yes		
get one's way	clitic	1	0	1	0.00	no	Happiness is bae, she gets my way.	gets … my … way
get something over with	clitic	1	1	1	1.00	yes		
get something twisted	filled	1	1	1	1.00	yes		
get up someone's nose	clitic	1	1	1	1.00	yes		
get what one asked for	filled	1	1	1	1.00	yes		
give it one's best shot	clitic	1	1	1	1.00	yes		
give it to someone	clitic	1	1	1	1.00	yes		
give one's all	filled	1	1	1	1.00	yes		
give one's right arm	clitic	1	0	1	0.00	no	Do you know about our giving birth?	our … giving
give someone a bell	filled	1	1	1	1.00	yes		
give someone a shout	filled	1	1	1	1.00	yes		
give someone an earful	filled	1	1	1	1.00	yes		
give someone hell	filled	1	1	1	1.00	yes		
give someone line	filled	1	1	1	1.00	yes		
give someone the arm	filled	1	0	1	0.00	no	He was gonna give me the arms!	give … me … the … arms
give someone the chair	filled	1	1	1	1.00	yes		
give someone the cold shoulder	filled	1	1	1	1.00	yes		
give someone what for	filled	1	1	1	1.00	yes		
give something a go	clitic	1	1	1	1.00	yes		
give something a whirl	filled	1	1	1	1.00	yes		
go about one's business	clitic	1	1	1	1.00	yes		
go over someone's head	clitic	1	1	1	1.00	yes		
good as one's word	clitic	1	1	1	1.00	yes		
good head on one's shoulders	clitic	1	1	1	1.00	yes		
hair of the dog that bit one	filled	1	1	1	1.00	yes		
hang up one's hat	clitic	1	0	1	0.00	no	You should hang up your hat.	hang … up … your … hat
harm a hair on someone's head	filled	1	1	1	1.00	yes		
have eyes in the back of one's head	clitic	1	1	1	1.00	yes		
have had one's day	clitic	1	1	1	1.00	yes		
have one's cake and eat it too	clitic	1	1	1	1.00	yes		
have one's head up one's ass	clitic	1	1	1	1.00	yes		
have someone's back	filled	1	0	1	0.00	no	The old man had his back to me.	had … back … me
have someone's blood	clitic	1	1	1	1.00	yes		
heaven help someone	clitic	1	1	1	1.00	yes		
heaven help someone	filled	1	1	1	1.00	yes		
hold one's drink	clitic	1	1	1	1.00	yes		
hold one's nerve	clitic	1	1	1	1.00	yes		
if it kills one	clitic	1	1	1	1.00	yes		
if it kills one	filled	1	1	1	1.00	yes		
in a world of one's own	filled	1	0	1	0.00	no	In the name of all who are living in a world of sin.	in … a … world … of … sin
in all one's glory	clitic	1	1	1	1.00	yes		
in one's element	clitic	1	1	1	1.00	yes		
in one's head	filled	1	1	1	1.00	yes		
in one's infinite wisdom	clitic	1	1	1	1.00	yes		
in one's own right	clitic	1	1	1	1.00	yes		
in one's sight	clitic	1	1	1	1.00	yes		
in one's sights	clitic	1	1	1	1.00	yes		
in someone's boots	filled	1	0	1	0.00	no	Tom always keeps a set of jump leads in the boot of his car.	in … boot … car
in someone's debt	clitic	1	1	1	1.00	yes		
in something's favor	filled	1	0	1	0.00	no	Let me find favor in your eyes.	favor … in … eyes
keep one's chin up	clitic	1	1	1	1.00	yes		
keep one's counsel	clitic	1	1	1	1.00	yes		
keep one's distance	clitic	1	1	1	1.00	yes		
keep one's ears open	clitic	1	1	1	1.00	yes		
keep one's eye on the ball	clitic	1	1	1	1.00	yes		
keep one's eyes on the ball	clitic	1	1	1	1.00	yes		
keep one's head	filled	1	1	1	1.00	yes		
keep one's head on a swivel	clitic	1	1	1	1.00	yes		
keep one's nose clean	clitic	1	1	1	1.00	yes		
keep one's own counsel	clitic	1	1	1	1.00	yes		
keep one's powder dry	clitic	1	1	1	1.00	yes		
keep someone amused	filled	1	1	1	1.00	yes		
keep someone busy	clitic	1	1	1	1.00	yes		
keep someone in the loop	filled	1	1	1	1.00	yes		
keep someone occupied	clitic	1	1	1	1.00	yes		
keep someone up at night	clitic	1	1	1	1.00	yes		
keep someone up at night	filled	1	1	1	1.00	yes		
kiss someone's arse	clitic	1	1	1	1.00	yes		
kiss someone's ring	clitic	1	1	1	1.00	yes		
knit one's brow	clitic	1	1	1	1.00	yes		
knit one's brows	clitic	1	1	1	1.00	yes		
knock someone for six	clitic	1	1	1	1.00	yes		
knock someone for six	filled	1	1	1	1.00	yes		
knock someone's socks off	clitic	1	1	1	1.00	yes		
know where one stands	filled	1	1	1	1.00	yes		
lay down one's arms	clitic	1	1	1	1.00	yes		
lay one's cards on the table	clitic	1	1	1	1.00	yes		
leave someone cold	clitic	1	1	1	1.00	yes		
let one loose	clitic	1	1	1	1.00	yes		
let one's hair down	clitic	1	1	1	1.00	yes		
let oneself go	clitic	1	1	1	1.00	yes		
let someone have it	clitic	1	0	1	0.00	no	We can let you have it on credit.	let … you … have … it
let someone loose	clitic	1	1	1	1.00	yes		
let something slip	clitic	1	0	1	0.00	no	You think I would just let you slip away?	let … you … slip
lick one's wounds	clitic	1	0	1	0.00	no	The injured dog was licking its wounds.	licking … its … wounds
lift someone's spirits	clitic	1	1	1	1.00	yes		
like one's life depended on it	clitic	1	1	1	1.00	yes		
live one's best life	clitic	1	1	1	1.00	yes		
live one's own life	clitic	1	1	1	1.00	yes		
look one's age	clitic	1	1	1	1.00	yes		
loosen one's tongue	clitic	1	1	1	1.00	yes		
loosen someone's tongue	clitic	1	1	1	1.00	yes		
lose one's battle	filled	1	1	1	1.00	yes		
lose one's marbles	clitic	1	1	1	1.00	yes		
lose one's shirt	clitic	1	1	1	1.00	yes		
lose one's tongue	clitic	1	1	1	1.00	yes		
make a name for oneself	filled	1	1	1	1.00	yes		
make a spectacle of oneself	filled	1	1	1	1.00	yes		
make one's bow	filled	1	0	1	0.00	no	What make was it?	What … make
make one's manners	filled	1	0	1	0.00	no	On the mountain he would cut bamboo to make all manner of things.	make … manner … things
make one's mark	clitic	1	1	1	1.00	yes		
make one's mark	filled	1	1	1	1.00	yes		
make one's own	clitic	1	1	1	1.00	yes		
make one's own	filled	1	1	1	1.00	yes		
make one's own luck	clitic	1	1	1	1.00	yes		
make oneself scarce	filled	1	1	1	1.00	yes		
make someone's flesh creep	clitic	1	1	1	1.00	yes		
make someone's jaw drop	filled	1	1	1	1.00	yes		
make something of oneself	filled	1	1	1	1.00	yes		
make up one's mind	filled	1	1	1	1.00	yes		
measure one's length	clitic	1	0	1	0.00	no	I chose the age up to my own measure.	my … measure
meet one's match	clitic	1	1	1	1.00	yes		
more power to someone	filled	1	1	1	1.00	yes		
move one's body	clitic	1	1	1	1.00	yes		
nail in one's coffin	clitic	1	1	1	1.00	yes		
of one's choice	clitic	1	1	1	1.00	yes		
of one's choice	filled	1	0	1	0.00	no	Plenty of choice in men, just like food.	of … choice … men
of one's making	clitic	1	1	1	1.00	yes		
of one's own making	clitic	1	1	1	1.00	yes		
off one's guard	clitic	1	1	1	1.00	yes		
off with someone's head	clitic	1	1	1	1.00	yes		
offer one's condolences	clitic	1	1	1	1.00	yes		
on one's behaviour	clitic	1	1	1	1.00	yes		
on one's game	clitic	1	0	1	0.00	no	How the hell are you meant to concentrate on your game?	on … your … game
on one's head	filled	1	1	1	1.00	yes		
on one's honor	clitic	1	1	1	1.00	yes		
on one's last legs	clitic	1	1	1	1.00	yes		
on one's mind	filled	1	0	1	0.00	no	His lecture left a deep impression on the mind of those present there.	on … mind … those
on one's part	filled	1	0	1	0.00	no	Both working on our distinct individual parts of that mission.	on … parts … mission
on one's plate	filled	1	1	1	1.00	yes		
on someone's hands	filled	1	0	1	0.00	no	You have enough on your hands at work.	on … hands … work
on someone's mind	filled	1	0	1	0.00	no	His lecture left a deep impression on the mind of those present there.	on … mind … those
on the edge of one's seat	clitic	1	1	1	1.00	yes		
one should be so lucky	filled	1	1	1	1.00	yes		
one's gotta do what one's gotta do	filled	1	1	1	1.00	yes		
one's heart bleeds	clitic	1	1	1	1.00	yes		
one's heart sinks	clitic	1	1	1	1.00	yes		
open one's legs	clitic	1	1	1	1.00	yes		
open someone's eyes	filled	1	0	1	0.00	no	Open you eyes, the garage is empty!	Open … you … eyes
outstay one's welcome	clitic	1	1	1	1.00	yes		
pass in one's checks	filled	1	0	1	0.00	no	Tom got a pass in the test.	pass … in … test
pay one's debt to society	clitic	1	1	1	1.00	yes		
pay one's way	filled	1	1	1	1.00	yes		
pay someone's way	filled	1	1	1	1.00	yes		
pick oneself up off the floor	filled	1	0	1	0.00	no	Tom picked something up off the floor.	picked … something … up … off … the … floor
piss one's pants	clitic	1	1	1	1.00	yes		
play one against another	filled	1	0	1	0.00	no	Tell them it was a sham and I want to play a real game against him.	play … game … against … him
play one's cards well	clitic	1	1	1	1.00	yes		
play someone like a fiddle	filled	1	1	1	1.00	yes		
pole up one's ass	clitic	1	1	1	1.00	yes		
poop one's pants	filled	1	0	1	0.00	no	He has poop on his butt, and this hyung is really bad at this.	poop … butt
practice what one preaches	filled	1	1	1	1.00	yes		
press someone's buttons	filled	1	0	1	0.00	no	Tom pressed a button on the remote control.	pressed … button … remote control
pull one's finger out	clitic	1	1	1	1.00	yes		
put all one's eggs in one basket	clitic	1	1	1	1.00	yes		
put behind one	filled	1	1	1	1.00	yes		
put one's affairs in order	clitic	1	1	1	1.00	yes		
put one's feet up	clitic	1	1	1	1.00	yes		
put one's hands together	clitic	1	1	1	1.00	yes		
put one's money where one's mouth is	clitic	1	1	1	1.00	yes		
put someone in a box	clitic	1	0	1	0.00	no	No, I put it in a box.	put … it … in … a … box
put something over	filled	1	0	1	0.00	no	Put the shit over here!	Put … shit … over
putty in someone's hands	clitic	1	1	1	1.00	yes		
rattle one's saber	filled	1	0	1	0.00	no	Rattlesnakes have a rattle at the ends of their tails.	rattle … ends
redeem oneself	clitic	1	1	1	1.00	yes		
renew one's vows	clitic	1	0	1	0.00	no	I hereby renew my vow to marry you.	renew … my … vow
rest on one's laurels	clitic	1	0	1	0.00	no	But you need your rest, my love.	your … rest
rest one's case	clitic	1	0	1	0.00	no	But you need your rest, my love.	your … rest
rest one's soul	clitic	1	1	1	1.00	yes		
rip a page out of someone's book	clitic	1	0	1	0.00	no	Tom ripped a page out of his sketch book.	ripped … a … page … out … of … his … book
roll from one's tongue	clitic	1	0	1	0.00	no	You added that to your roll?	your … roll
roof over one's head	filled	1	1	1	1.00	yes		
rub someone the wrong way	filled	1	1	1	1.00	yes		
ruffle someone's feathers	clitic	1	1	1	1.00	yes		
run one's face	clitic	1	0	1	0.00	no	Did you enjoy your run?	your … run
run one's mouth	clitic	1	0	1	0.00	no	Did you enjoy your run?	your … run
save one's breath	clitic	1	1	1	1.00	yes		
save one's skin	clitic	1	1	1	1.00	yes		
save someone's life	filled	1	1	1	1.00	yes		
save someone's skin	clitic	1	1	1	1.00	yes		
save something for a rainy day	filled	1	1	1	1.00	yes		
scare someone to death	clitic	1	1	1	1.00	yes		
scratch someone's back	clitic	1	1	1	1.00	yes		
seal someone's fate	clitic	1	1	1	1.00	yes		
see someone's etchings	clitic	1	1	1	1.00	yes		
sell one's ass	clitic	1	0	1	0.00	no	We were selling rich women their own fat asses back to them.	selling … their … asses
sell someone a pup	filled	1	1	1	1.00	yes		
send shivers down someone's spine	clitic	1	1	1	1.00	yes		
send someone packing	clitic	1	1	1	1.00	yes		
serve one's time	clitic	1	1	1	1.00	yes		
serve one's time	filled	1	1	1	1.00	yes		
set one's sights	clitic	1	1	1	1.00	yes		
set one's sights	filled	1	1	1	1.00	yes		
shake one's ass	clitic	1	1	1	1.00	yes		
shift one's tides	filled	1	0	1	0.00	no	All of the night shift on the artillery depot were killed.	shift … depot
shit one's pants	clitic	1	1	1	1.00	yes		
shoot one's mouth off	clitic	1	1	1	1.00	yes		
show one's cards	clitic	1	0	1	0.00	no	Show your ID card to the officer.	Show … your … card
show one's true colours	clitic	1	1	1	1.00	yes		
show someone a good time	filled	1	1	1	1.00	yes		
skin someone alive	filled	1	1	1	1.00	yes		
sleep one off	clitic	1	1	1	1.00	yes		
slip through someone's fingers	clitic	1	1	1	1.00	yes		
slip through someone's fingers	filled	1	1	1	1.00	yes		
someone's goose is cooked	clitic	1	1	1	1.00	yes		
sort oneself out	clitic	1	1	1	1.00	yes		
sow one's oats	filled	1	0	1	0.00	no	Get back in your trough, you fucking sow!	you … sow
spill one's guts	clitic	1	1	1	1.00	yes		
spoil somebody rotten	filled	1	1	1	1.00	yes		
spoil someone rotten	filled	1	1	1	1.00	yes		
spread oneself thin	filled	1	1	1	1.00	yes		
spread oneself too thin	filled	1	1	1	1.00	yes		
spring in one's step	clitic	1	1	1	1.00	yes		
stake one's life	filled	1	0	1	0.00	no	A wooden stake to the heart.	stake … heart
stand on someone's shoulders	filled	1	1	1	1.00	yes		
stay in one's lane	clitic	1	1	1	1.00	yes		
steal someone's identity	clitic	1	1	1	1.00	yes		
stew in one's juices	clitic	1	0	1	0.00	no	Are you going to eat the rest of your stew?	your … stew
stew in one's own broth	clitic	1	0	1	0.00	no	Are you going to eat the rest of your stew?	your … stew
stew in one's own gravy	clitic	1	0	1	0.00	no	Are you going to eat the rest of your stew?	your … stew
stick in someone's throat	clitic	1	0	1	0.00	no	A fish bone has stuck in my throat.	stuck … in … my … throat
stick one on	filled	1	1	1	1.00	yes		
stick one's neck out	clitic	1	1	1	1.00	yes		
story of one's life	clitic	1	1	1	1.00	yes		
strike one's flag	filled	1	0	1	0.00	no	Mine strike on Normandy?	strike … Normandy
sweat of one's brow	filled	1	0	1	0.00	no	Perfumes are often made from the sweat of various male animals.	sweat … of … animals
take matters into one's own hands	clitic	1	1	1	1.00	yes		
take one's chance	clitic	1	1	1	1.00	yes		
take one's chances	clitic	1	0	1	0.00	no	Take your chance, and do it.	Take … your … chance
take one's eyes off	clitic	1	1	1	1.00	yes		
take one's point	filled	1	0	1	0.00	no	Take down the main points of the speech.	Take … points … speech
take one's time	filled	1	0	1	0.00	no	Mother took time off from work.	took … time … work
take one's turn	clitic	1	0	1	0.00	no	Here is my take on the matter.	my … take
take someone at their word	clitic	1	1	1	1.00	yes		
take someone's part	filled	1	0	1	0.00	no	Not taking part in the festivities?	taking … part … festivities
take someone's point	filled	1	0	1	0.00	no	Take down the main points of the speech.	Take … points … speech
take something as it comes	clitic	1	1	1	1.00	yes		
take something to the head	filled	1	1	1	1.00	yes		
take to one's heels	clitic	1	0	1	0.00	no	Here is my take on the matter.	my … take
take upon oneself	filled	1	1	1	1.00	yes		
talk someone's ear off	clitic	1	1	1	1.00	yes		
tan someone's hide	clitic	1	1	1	1.00	yes		
thank one's lucky stars	clitic	1	1	1	1.00	yes		
the ball is in someone's court	clitic	1	1	1	1.00	yes		
think on one's feet	clitic	1	1	1	1.00	yes		
think one is it	filled	1	1	1	1.00	yes		
think the world revolves around one	filled	1	1	1	1.00	yes		
throw one's hat into the ring	clitic	1	1	1	1.00	yes		
tie someone's hands	clitic	1	0	1	0.00	no	You tied my fucking hands behind my back.	tied … my … hands
to one's bones	clitic	1	0	1	0.00	no	A bass that rings to my very bone.	to … my … bone
to one's face	filled	1	0	1	0.00	no	It is rare to be this close to the face of a murderer.	to … face … murderer
to someone's face	filled	1	0	1	0.00	no	It is rare to be this close to the face of a murderer.	to … face … murderer
to the best of one's knowledge	clitic	1	1	1	1.00	yes		
toot one's own horn	clitic	1	1	1	1.00	yes		
try one's luck	clitic	1	1	1	1.00	yes		
try someone's patience	clitic	1	1	1	1.00	yes		
tug at someone's heartstrings	clitic	1	1	1	1.00	yes		
turn one's coat	clitic	1	0	1	0.00	no	He turned his coat inside out.	turned … his … coat
turn one's nose up	clitic	1	1	1	1.00	yes		
turn up one's nose	clitic	1	1	1	1.00	yes		
twist someone's words	clitic	1	1	1	1.00	yes		
under one's own steam	clitic	1	1	1	1.00	yes		
under one's very nose	clitic	1	1	1	1.00	yes		
under someone's nose	filled	1	1	1	1.00	yes		
walk in someone's shoes	clitic	1	1	1	1.00	yes		
warm someone's heart	clitic	1	1	1	1.00	yes		
weigh one's words	clitic	1	1	1	1.00	yes		
wet one's whistle	clitic	1	1	1	1.00	yes		
what can one do	clitic	1	0	1	0.00	no	What can I do you for?	What … can … do … you
while one is about it	filled	1	1	1	1.00	yes		
while one is at it	filled	1	1	1	1.00	yes		
win someone's heart	filled	1	1	1	1.00	yes		
wipe oneself	clitic	1	1	1	1.00	yes		
wipe someone's eye	clitic	1	0	1	0.00	no	Wipe your eyes.	Wipe … your … eyes
with every fiber of one's being	clitic	1	1	1	1.00	yes		
with one's head held high	clitic	1	1	1	1.00	yes		
with one's last breath	clitic	1	1	1	1.00	yes		
work one's way	clitic	1	1	1	1.00	yes		
work one's way	filled	1	1	1	1.00	yes		
work one's way up	clitic	1	1	1	1.00	yes		
work with one's hands	clitic	1	1	1	1.00	yes		
worth one's weight in gold	clitic	1	1	1	1.00	yes		
would it kill someone	clitic	1	0	1	0.00	no	It would have killed him.	It … would … killed … him
would it kill someone	filled	1	0	1	0.00	no	It would have killed him.	It … would … killed … him
would the real someone please stand up	filled	1	0	1	0.00	no	Mona, would you stand up, please?	would … you … stand … up … please
written in someone's face	clitic	1	1	1	1.00	yes		
you learn something new every day	filled	1	1	1	1.00	yes		
